year,month,day,weight,flag,station,co2
1958.0,3.0,29.0,4.0,0.0,MLO,316.1
1958.0,4.0,5.0,6.0,0.0,MLO,317.3
1958.0,4.0,12.0,4.0,0.0,MLO,317.6
1958.0,4.0,19.0,6.0,0.0,MLO,317.5
1958.0,4.0,26.0,2.0,0.0,MLO,316.4
1958.0,5.0,3.0,6.0,0.0,MLO,316.9
1958.0,5.0,17.0,1.0,0.0,MLO,317.5
1958.0,5.0,24.0,5.0,0.0,MLO,317.9
1958.0,7.0,5.0,2.0,0.0,MLO,315.8
1958.0,7.0,12.0,4.0,0.0,MLO,315.8
1958.0,7.0,19.0,4.0,0.0,MLO,315.4
1958.0,7.0,26.0,7.0,0.0,MLO,315.5
1958.0,8.0,2.0,3.0,0.0,MLO,315.6
1958.0,8.0,9.0,4.0,0.0,MLO,315.1
1958.0,8.0,16.0,3.0,0.0,MLO,315.0
1958.0,8.0,30.0,5.0,0.0,MLO,314.1
1958.0,9.0,6.0,1.0,0.0,MLO,313.5
1958.0,11.0,8.0,4.0,0.0,MLO,313.0
1958.0,11.0,15.0,7.0,0.0,MLO,313.2
1958.0,11.0,22.0,5.0,0.0,MLO,313.5
1958.0,11.0,29.0,7.0,0.0,MLO,314.0
1958.0,12.0,6.0,6.0,0.0,MLO,314.5
1958.0,12.0,13.0,7.0,0.0,MLO,314.4
1958.0,12.0,20.0,4.0,0.0,MLO,314.7
1958.0,12.0,27.0,2.0,0.0,MLO,315.2
1959.0,1.0,3.0,3.0,0.0,MLO,315.2
1959.0,1.0,10.0,7.0,0.0,MLO,315.5
1959.0,1.0,17.0,7.0,0.0,MLO,315.6
1959.0,1.0,24.0,5.0,0.0,MLO,315.8
1959.0,1.0,31.0,2.0,0.0,MLO,315.4
1959.0,2.0,14.0,1.0,0.0,MLO,316.9
1959.0,2.0,21.0,7.0,0.0,MLO,316.6
1959.0,2.0,28.0,3.0,0.0,MLO,316.6
1959.0,3.0,7.0,7.0,0.0,MLO,316.8
1959.0,3.0,21.0,4.0,0.0,MLO,316.7
1959.0,3.0,28.0,6.0,0.0,MLO,316.7
1959.0,4.0,4.0,7.0,0.0,MLO,317.7
1959.0,4.0,11.0,7.0,0.0,MLO,317.1
1959.0,4.0,18.0,6.0,0.0,MLO,317.6
1959.0,4.0,25.0,5.0,0.0,MLO,318.3
1959.0,5.0,2.0,3.0,0.0,MLO,318.2
1959.0,5.0,9.0,1.0,0.0,MLO,318.7
1959.0,5.0,16.0,7.0,0.0,MLO,318.0
1959.0,5.0,23.0,5.0,0.0,MLO,318.4
1959.0,6.0,6.0,7.0,0.0,MLO,318.5
1959.0,6.0,13.0,5.0,0.0,MLO,318.1
1959.0,6.0,20.0,5.0,0.0,MLO,317.8
1959.0,6.0,27.0,2.0,0.0,MLO,317.7
1959.0,7.0,4.0,7.0,0.0,MLO,316.8
1959.0,7.0,11.0,7.0,0.0,MLO,316.8
1959.0,7.0,18.0,5.0,0.0,MLO,316.4
1959.0,7.0,25.0,4.0,0.0,MLO,316.1
1959.0,8.0,1.0,7.0,0.0,MLO,315.6
1959.0,8.0,8.0,3.0,0.0,MLO,314.9
1959.0,8.0,22.0,1.0,0.0,MLO,315.0
1959.0,8.0,29.0,4.0,0.0,MLO,314.1
1959.0,9.0,5.0,5.0,0.0,MLO,314.4
1959.0,9.0,12.0,3.0,0.0,MLO,313.9
1959.0,9.0,19.0,5.0,0.0,MLO,313.5
1959.0,9.0,26.0,4.0,0.0,MLO,313.5
1959.0,10.0,3.0,6.0,0.0,MLO,313.0
1959.0,10.0,10.0,3.0,0.0,MLO,313.1
1959.0,10.0,17.0,7.0,0.0,MLO,313.4
1959.0,10.0,24.0,7.0,0.0,MLO,313.4
1959.0,10.0,31.0,7.0,0.0,MLO,314.1
1959.0,11.0,7.0,2.0,0.0,MLO,314.4
1959.0,11.0,14.0,5.0,0.0,MLO,314.8
1959.0,11.0,21.0,6.0,0.0,MLO,315.2
1959.0,11.0,28.0,5.0,0.0,MLO,315.1
1959.0,12.0,5.0,4.0,0.0,MLO,315.0
1959.0,12.0,12.0,5.0,0.0,MLO,315.6
1959.0,12.0,19.0,6.0,0.0,MLO,315.8
1959.0,12.0,26.0,6.0,0.0,MLO,315.7
1960.0,1.0,2.0,4.0,0.0,MLO,315.7
1960.0,1.0,9.0,5.0,0.0,MLO,316.4
1960.0,1.0,16.0,6.0,0.0,MLO,316.7
1960.0,1.0,23.0,5.0,0.0,MLO,316.5
1960.0,1.0,30.0,6.0,0.0,MLO,316.6
1960.0,2.0,6.0,2.0,0.0,MLO,316.6
1960.0,2.0,13.0,6.0,0.0,MLO,316.9
1960.0,2.0,20.0,4.0,0.0,MLO,317.4
1960.0,2.0,27.0,5.0,0.0,MLO,317.0
1960.0,3.0,5.0,7.0,0.0,MLO,316.9
1960.0,3.0,12.0,7.0,0.0,MLO,317.7
1960.0,3.0,19.0,4.0,0.0,MLO,318.0
1960.0,3.0,26.0,6.0,0.0,MLO,317.7
1960.0,4.0,2.0,5.0,0.0,MLO,318.6
1960.0,4.0,9.0,3.0,0.0,MLO,319.3
1960.0,4.0,16.0,7.0,0.0,MLO,319.0
1960.0,4.0,23.0,7.0,0.0,MLO,319.0
1960.0,4.0,30.0,1.0,0.0,MLO,319.7
1960.0,5.0,7.0,6.0,0.0,MLO,319.9
1960.0,5.0,14.0,5.0,0.0,MLO,319.8
1960.0,5.0,21.0,6.0,0.0,MLO,320.0
1960.0,5.0,28.0,7.0,0.0,MLO,320.0
1960.0,6.0,4.0,3.0,0.0,MLO,319.4
1960.0,6.0,11.0,5.0,0.0,MLO,320.0
1960.0,6.0,18.0,3.0,0.0,MLO,319.4
